team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
Toronto Blue Jays,Skydome,2589297,1997,AL,TOR,5,162,76,86,654,5473,1333,97,3.92,19,16,34,4326,1453,167,497,1150,0.98,99
Seattle Mariners,Kingdome,3192237,1997,AL,SEA,1,162,90,72,925,5614,1574,123,4.79,9,8,38,4341,1500,192,598,1207,0.98,98
Anaheim Angels,Edison International Field,1767330,1997,AL,ANA,2,162,84,78,829,5628,1531,126,4.52,9,5,39,4362,1506,202,605,1050,0.98,102
Texas Rangers,The Ballpark at Arlington,2945228,1997,AL,TEX,3,162,77,85,807,5651,1547,122,4.68,8,9,33,4289,1598,169,541,925,0.98,105
Oakland Athletics,Oakland Coliseum,1264218,1997,AL,OAK,4,162,65,97,764,5589,1451,121,5.49,2,1,38,4335,1734,197,642,953,0.98,96
Houston Astros,Astrodome,2046781,1997,NL,HOU,1,162,84,78,777,5502,1427,131,3.67,16,12,37,4377,1379,134,511,1138,0.97,96
Pittsburgh Pirates,Three Rivers Stadium,1657022,1997,NL,PIT,2,162,79,83,725,5503,1440,131,4.28,6,8,41,4308,1503,143,560,1080,0.97,103
Cincinnati Reds,Cinergy Field,1785788,1997,NL,CIN,3,162,76,86,651,5484,1386,106,4.42,5,8,49,4347,1408,173,558,1159,0.98,102
St. Louis Cardinals,Busch Stadium II,2634014,1997,NL,SLN,4,162,73,89,689,5524,1409,123,3.9,5,3,39,4367,1422,124,536,1130,0.98,99
Chicago Cubs,Wrigley Field,2190308,1997,NL,CHN,5,162,68,94,687,5489,1444,115,4.44,6,4,37,4287,1451,185,590,1072,0.98,102
Atlanta Braves,Turner Field,3464488,1997,NL,ATL,1,162,101,61,791,5528,1490,114,3.18,21,17,37,4395,1319,111,450,1196,0.98,102
Florida Marlins,Joe Robbie Stadium,2364387,1997,NL,FLO,2,162,92,70,740,5439,1410,119,3.83,12,10,39,4338,1353,131,639,1188,0.98,95
New York Mets,Shea Stadium,1766174,1997,NL,NYN,3,162,88,74,777,5524,1448,117,3.95,7,8,49,4377,1452,160,504,982,0.98,97
Montreal Expos,Stade Olympique,1497609,1997,NL,MON,4,162,78,84,691,5526,1423,131,4.14,27,14,37,4341,1365,149,557,1138,0.97,99
Philadelphia Phillies,Veterans Stadium,1490638,1997,NL,PHI,5,162,68,94,668,5443,1390,105,4.87,13,7,35,4260,1441,171,616,1209,0.98,100
San Francisco Giants,3Com Park,1690869,1997,NL,SFN,1,162,90,72,784,5485,1415,120,4.41,5,9,45,4338,1494,160,578,1044,0.98,98
Los Angeles Dodgers,Dodger Stadium,3319504,1997,NL,LAN,2,162,88,74,742,5544,1488,116,3.63,6,6,45,4377,1325,163,546,1232,0.98,93
Colorado Rockies,Coors Field,3888453,1997,NL,COL,3,162,83,79,923,5603,1611,111,5.25,9,5,38,4296,1697,196,566,870,0.98,122
San Diego Padres,Qualcomm Stadium,2089333,1997,NL,SDN,4,162,76,86,795,5609,1519,125,4.99,5,2,43,4350,1581,172,596,1059,0.98,93
Cleveland Indians,Jacobs Field,3467299,1998,AL,CLE,1,162,89,73,850,5616,1530,110,4.45,9,4,47,4380,1552,171,563,1037,0.98,103
Chicago White Sox,Comiskey Park II,1391146,1998,AL,CHA,2,163,80,82,861,5585,1516,140,5.24,8,4,42,4315,1569,211,580,911,0.97,98
Kansas City Royals,Kauffman Stadium,1494875,1998,AL,KCA,3,161,72,89,714,5546,1459,125,5.16,6,7,46,4308,1590,196,568,999,0.98,101
Minnesota Twins,Hubert H Humphrey Metrodome,1165976,1998,AL,MIN,4,162,70,92,734,5641,1499,108,4.76,7,9,42,4342,1622,180,457,952,0.98,101
Detroit Tigers,Tiger Stadium,1409391,1998,AL,DET,5,162,65,97,722,5664,1494,115,4.93,9,4,32,4338,1551,185,595,947,0.98,100
New York Yankees,Yankee Stadium II,2955193,1998,AL,NYA,1,162,114,48,965,5643,1625,98,3.82,22,16,48,4369,1357,156,466,1080,0.98,97
Boston Red Sox,Fenway Park II,2314704,1998,AL,BOS,2,162,92,70,876,5601,1568,105,4.19,5,8,53,4308,1406,168,504,1025,0.98,102
Toronto Blue Jays,Skydome,2454303,1998,AL,TOR,3,163,88,74,816,5580,1482,125,4.29,10,11,47,4395,1443,169,587,1154,0.97,100
Baltimore Orioles,Oriole Park at Camden Yards,3684650,1998,AL,BAL,4,162,79,83,817,5565,1520,81,4.73,16,10,37,4293,1505,169,535,1065,0.98,98
Tampa Bay Devil Rays,Tropicana Field,2506293,1998,AL,TBA,5,162,63,99,620,5555,1450,94,4.35,7,8,28,4329,1425,171,643,1008,0.98,101
Texas Rangers,The Ballpark at Arlington,2927399,1998,AL,TEX,1,162,88,74,940,5672,1637,122,5,10,8,46,4293,1624,164,519,994,0.98,104
Anaheim Angels,Edison International Field,2519280,1998,AL,ANA,2,162,85,77,787,5630,1530,106,4.49,3,5,52,4332,1481,164,630,1091,0.98,102
Seattle Mariners,Kingdome,2651511,1998,AL,SEA,3,161,76,85,859,5628,1553,125,4.95,17,7,31,4272,1530,196,528,1156,0.97,99
Oakland Athletics,Oakland Coliseum,1232343,1998,AL,OAK,4,162,74,88,804,5490,1413,141,4.83,12,4,39,4302,1555,179,529,922,0.97,96
Houston Astros,Astrodome,2458451,1998,NL,HOU,1,162,102,60,874,5641,1578,108,3.5,12,11,44,4413,1435,147,465,1187,0.98,98
Chicago Cubs,Wrigley Field,2623194,1998,NL,CHN,2,163,90,73,831,5649,1494,101,4.5,7,7,56,4431,1528,180,575,1207,0.98,103
St. Louis Cardinals,Busch Stadium II,3195691,1998,NL,SLN,3,163,83,79,810,5593,1444,142,4.32,6,10,44,4409,1513,151,558,972,0.97,100
Cincinnati Reds,Cinergy Field,1793649,1998,NL,CIN,4,162,77,85,750,5496,1441,122,4.44,6,8,42,4323,1400,170,573,1098,0.98,102
Milwaukee Brewers,County Stadium,1811593,1998,NL,MIL,5,162,74,88,707,5541,1439,110,4.63,2,2,39,4353,1538,188,550,1063,0.98,100
Pittsburgh Pirates,Three Rivers Stadium,1560950,1998,NL,PIT,6,163,69,93,650,5493,1395,140,3.91,7,10,41,4347,1433,147,530,1112,0.97,102
Atlanta Braves,Turner Field,3360860,1998,NL,ATL,1,162,106,56,826,5484,1489,91,3.25,24,23,45,4315,1291,117,467,1232,0.98,100
New York Mets,Shea Stadium,2287948,1998,NL,NYN,2,162,88,74,706,5510,1425,101,3.77,9,16,46,4374,1381,152,532,1129,0.98,99
Philadelphia Phillies,Veterans Stadium,1715722,1998,NL,PHI,3,162,75,87,713,5617,1482,110,4.64,21,11,32,4389,1476,188,544,1176,0.98,102
Montreal Expos,Stade Olympique,914909,1998,NL,MON,4,162,65,97,644,5418,1348,155,4.39,4,5,39,4281,1448,156,533,1017,0.97,98
Florida Marlins,Joe Robbie Stadium,1730384,1998,NL,FLO,5,162,54,108,667,5558,1381,129,5.2,11,3,24,4348,1617,182,715,1016,0.97,94
San Diego Padres,Qualcomm Stadium,2555874,1998,NL,SDN,1,162,98,64,749,5490,1390,104,3.63,14,11,59,4363,1384,139,501,1217,0.98,92
San Francisco Giants,3Com Park,1925364,1998,NL,SFN,2,163,89,74,845,5628,1540,101,4.19,6,6,44,4431,1457,171,562,1089,0.98,95
Los Angeles Dodgers,Dodger Stadium,3089222,1998,NL,LAN,3,162,83,79,669,5459,1374,134,3.81,16,10,47,4341,1332,135,587,1178,0.97,95
Colorado Rockies,Coors Field,3792683,1998,NL,COL,4,162,77,85,826,5632,1640,102,5,9,5,36,4297,1583,174,562,951,0.98,121
Arizona Diamondbacks,Bank One Ballpark,3610290,1998,NL,ARI,5,162,65,97,665,5491,1353,100,4.64,7,6,37,4296,1463,188,489,908,0.98,100
Cleveland Indians,Jacobs Field,3468456,1999,AL,CLE,1,162,97,65,1009,5634,1629,106,4.9,3,6,46,4350,1503,197,634,1120,0.98,104
Chicago White Sox,Comiskey Park II,1338851,1999,AL,CHA,2,162,75,86,777,5644,1563,136,4.92,6,3,39,4314,1608,210,596,968,0.97,101
Detroit Tigers,Tiger Stadium,2026441,1999,AL,DET,3,161,69,92,747,5481,1433,106,5.18,4,6,33,4261,1528,209,583,976,0.98,99
Kansas City Royals,Kauffman Stadium,1506068,1999,AL,KCA,4,161,64,97,856,5624,1584,125,5.35,11,3,29,4261,1607,202,643,831,0.98,102
Minnesota Twins,Hubert H Humphrey Metrodome,1202829,1999,AL,MIN,5,161,63,97,686,5495,1450,92,5.02,12,8,34,4269,1591,208,487,927,0.98,103
New York Yankees,Yankee Stadium II,3292736,1999,AL,NYA,1,162,98,64,900,5568,1568,111,4.13,6,10,50,4318,1402,158,581,1111,0.98,98
Boston Red Sox,Fenway Park II,2446162,1999,AL,BOS,2,162,94,68,836,5579,1551,127,4,6,12,50,4309,1396,160,469,1131,0.97,104
Toronto Blue Jays,Skydome,2163464,1999,AL,TOR,3,162,84,78,883,5642,1580,106,4.92,14,9,39,4315,1582,191,575,1009,0.98,101
Baltimore Orioles,Oriole Park at Camden Yards,3433150,1999,AL,BAL,4,162,78,84,851,5637,1572,89,4.77,17,11,33,4305,1468,198,647,982,0.98,96
Tampa Bay Devil Rays,Tropicana Field,1562827,1999,AL,TBA,5,162,69,93,772,5586,1531,135,5.06,6,5,45,4297,1606,172,695,1055,0.97,100
Texas Rangers,The Ballpark at Arlington,2771469,1999,AL,TEX,1,162,95,67,945,5651,1653,119,5.07,6,9,47,4306,1626,186,509,979,0.98,105
Oakland Athletics,Oakland Coliseum,1434610,1999,AL,OAK,2,162,87,75,893,5519,1430,122,4.69,6,5,48,4314,1537,160,569,967,0.98,94
Seattle Mariners,Kingdome / Safeco Field,2916346,1999,AL,SEA,3,162,79,83,859,5572,1499,113,5.24,7,6,40,4300,1613,191,684,980,0.98,102
Anaheim Angels,Edison International Field,2253123,1999,AL,ANA,4,162,70,92,711,5494,1404,106,4.79,4,7,37,4293,1472,177,624,877,0.98,99
Houston Astros,Astrodome,2706017,1999,NL,HOU,1,162,97,65,823,5485,1463,106,3.84,12,8,48,4375,1485,128,478,1204,0.98,100
Cincinnati Reds,Cinergy Field,2061222,1999,NL,CIN,2,163,96,67,865,5649,1536,105,3.99,6,11,55,4384,1309,190,636,1081,0.98,103
Pittsburgh Pirates,Three Rivers Stadium,1638023,1999,NL,PIT,3,161,78,83,775,5468,1417,147,4.33,8,3,34,4297,1444,160,633,1083,0.97,101
St. Louis Cardinals,Busch Stadium II,3225334,1999,NL,SLN,4,161,75,86,809,5570,1461,132,4.74,5,3,38,4335,1519,161,667,1025,0.97,101
Milwaukee Brewers,County Stadium,1701796,1999,NL,MIL,5,161,74,87,815,5582,1524,127,5.07,2,5,40,4327,1618,213,616,987,0.97,99
Chicago Cubs,Wrigley Field,2813854,1999,NL,CHN,6,162,67,95,747,5482,1411,139,5.27,11,6,32,4291,1619,221,529,980,0.97,97
Atlanta Braves,Turner Field,3284897,1999,NL,ATL,1,162,103,59,840,5569,1481,111,3.63,9,9,45,4413,1398,142,507,1197,0.98,100
New York Mets,Shea Stadium,2725668,1999,NL,NYN,2,163,97,66,853,5572,1553,68,4.27,5,7,49,4369,1372,167,617,1172,0.98,98
Philadelphia Phillies,Veterans Stadium,1825337,1999,NL,PHI,3,162,77,85,841,5598,1539,100,4.93,11,6,32,4314,1494,212,627,1030,0.98,105
Montreal Expos,Stade Olympique,773277,1999,NL,MON,4,162,68,94,718,5559,1473,160,4.69,6,4,44,4302,1505,152,572,1043,0.97,97
Florida Marlins,Pro Player Stadium,1369421,1999,NL,FLO,5,162,64,98,691,5578,1465,127,4.9,6,5,33,4306,1560,171,655,943,0.97,93
Arizona Diamondbacks,Bank One Ballpark,3019654,1999,NL,ARI,1,162,100,62,908,5658,1566,104,3.77,16,9,42,4401,1387,176,543,1198,0.98,101
San Francisco Giants,3Com Park,2078399,1999,NL,SFN,2,162,86,76,872,5563,1507,105,4.71,6,3,42,4368,1486,194,655,1076,0.98,95
Los Angeles Dodgers,Dodger Stadium,3095346,1999,NL,LAN,3,162,77,85,793,5567,1480,137,4.45,8,6,37,4357,1438,192,594,1077,0.97,95
San Diego Padres,Qualcomm Stadium,2523538,1999,NL,SDN,4,162,74,88,710,5394,1360,129,4.47,5,6,43,4260,1454,193,529,1078,0.97,92
Colorado Rockies,Coors Field,3481065,1999,NL,COL,5,162,72,90,906,5716,1644,118,6.02,12,2,33,4285,1700,237,737,1032,0.98,127
Chicago White Sox,Comiskey Park II,1947799,2000,AL,CHA,1,162,95,67,978,5646,1615,133,4.66,5,7,43,4350,1509,195,614,1037,0.97,102
Cleveland Indians,Jacobs Field,3456278,2000,AL,CLE,2,162,90,72,950,5683,1639,72,4.84,6,5,34,4326,1511,173,666,1213,0.98,101
Detroit Tigers,Comerica Park,2438617,2000,AL,DET,3,162,79,83,823,5644,1553,105,4.71,6,6,44,4329,1583,177,496,978,0.98,95
Kansas City Royals,Kauffman Stadium,1564847,2000,AL,KCA,4,162,77,85,879,5709,1644,102,5.48,10,6,29,4317,1585,239,693,927,0.98,103
Minnesota Twins,Hubert H Humphrey Metrodome,1000760,2000,AL,MIN,5,162,69,93,748,5615,1516,102,5.15,6,4,35,4297,1634,212,516,1042,0.98,104
New York Yankees,Yankee Stadium II,3055435,2000,AL,NYA,1,161,87,74,871,5556,1541,109,4.76,9,6,40,4272,1458,177,577,1040,0.98,99
Boston Red Sox,Fenway Park II,2585895,2000,AL,BOS,2,162,85,77,792,5630,1503,109,4.23,7,12,46,4357,1433,173,499,1121,0.98,104
Toronto Blue Jays,Skydome,1705712,2000,AL,TOR,3,162,83,79,861,5677,1562,100,5.14,15,4,37,4311,1615,195,560,978,0.98,103
Baltimore Orioles,Oriole Park at Camden Yards,3297031,2000,AL,BAL,4,162,74,88,794,5549,1508,116,5.37,14,6,33,4299,1547,202,665,1017,0.98,95
Tampa Bay Devil Rays,Tropicana Field,1449673,2000,AL,TBA,5,161,69,92,733,5505,1414,118,4.86,10,8,38,4293,1553,198,533,955,0.98,99
Oakland Athletics,Oakland Coliseum,1603744,2000,AL,OAK,1,161,91,70,947,5560,1501,134,4.58,7,11,43,4305,1535,158,615,963,0.97,96
Seattle Mariners,Safeco Field,2914624,2000,AL,SEA,2,162,91,71,907,5497,1481,99,4.5,4,10,44,4324,1442,167,634,998,0.98,95
Anaheim Angels,Edison International Field,2066982,2000,AL,ANA,3,162,82,80,864,5628,1574,134,5,5,3,46,4344,1534,228,662,846,0.97,102
Texas Rangers,The Ballpark at Arlington,2588401,2000,AL,TEX,4,162,71,91,848,5648,1601,135,5.52,3,4,39,4287,1683,202,661,918,0.97,102
St. Louis Cardinals,Busch Stadium II,3336493,2000,NL,SLN,1,162,95,67,887,5478,1481,111,4.38,10,7,37,4300,1403,196,606,1100,0.98,102
Cincinnati Reds,Cinergy Field,2577371,2000,NL,CIN,2,163,85,77,825,5635,1545,111,4.33,8,7,42,4368,1446,190,659,1015,0.98,102
Milwaukee Brewers,County Stadium,1573621,2000,NL,MIL,3,163,73,89,740,5563,1366,118,4.64,2,7,29,4398,1501,174,728,967,0.98,97
Houston Astros,Enron Field,3056139,2000,NL,HOU,4,162,72,90,938,5570,1547,133,5.41,8,2,30,4312,1596,234,598,1064,0.97,107
Pittsburgh Pirates,Three Rivers Stadium,1748908,2000,NL,PIT,5,162,69,93,793,5643,1506,132,4.93,5,7,27,4347,1554,163,711,1070,0.97,99
Chicago Cubs,Wrigley Field,2789511,2000,NL,CHN,6,162,65,97,764,5577,1426,100,5.25,10,5,39,4363,1505,231,658,1143,0.98,97
Atlanta Braves,Turner Field,3234304,2000,NL,ATL,1,162,95,67,810,5489,1490,129,4.05,13,9,53,4320,1428,165,484,1093,0.97,101
New York Mets,Shea Stadium,2820530,2000,NL,NYN,2,162,94,68,807,5486,1445,118,4.16,8,10,49,4350,1398,164,574,1164,0.98,96
Florida Marlins,Pro Player Stadium,1218326,2000,NL,FLO,3,161,79,82,731,5509,1441,125,4.59,5,4,48,4288,1477,169,650,1051,0.98,94
Montreal Expos,Stade Olympique,926272,2000,NL,MON,4,162,67,95,738,5535,1475,132,5.13,4,7,39,4273,1575,181,579,1011,0.97,103
Philadelphia Phillies,Veterans Stadium,1612769,2000,NL,PHI,5,162,65,97,708,5511,1386,100,4.77,8,6,34,4315,1458,201,640,1123,0.98,100
San Francisco Giants,PacBell Park,3318800,2000,NL,SFN,1,162,97,65,925,5519,1535,93,4.21,9,15,47,4332,1452,151,623,1076,0.98,93
Los Angeles Dodgers,Dodger Stadium,2880242,2000,NL,LAN,2,162,86,76,798,5481,1408,135,4.1,9,11,36,4335,1379,176,600,1154,0.97,94
Arizona Diamondbacks,Bank One Ballpark,2942251,2000,NL,ARI,3,162,85,77,792,5527,1466,107,4.35,16,8,38,4330,1441,190,500,1220,0.98,105
Colorado Rockies,Coors Field,3295129,2000,NL,COL,4,162,82,80,968,5660,1664,94,5.26,7,2,33,4290,1568,221,588,1001,0.98,125
San Diego Padres,Qualcomm Stadium,2352443,2000,NL,SDN,5,162,76,86,752,5560,1413,141,4.52,5,5,46,4377,1443,191,649,1071,0.97,92
Cleveland Indians,Jacobs Field,3175523,2001,AL,CLE,1,162,91,71,897,5600,1559,107,4.64,3,4,42,4340,1512,148,573,1218,0.98,100
Minnesota Twins,Hubert H Humphrey Metrodome,1782929,2001,AL,MIN,2,162,85,77,771,5560,1514,108,4.51,12,8,45,4324,1494,192,445,965,0.98,102
Chicago White Sox,Comiskey Park II,1766172,2001,AL,CHA,3,162,83,79,798,5464,1463,118,4.55,8,7,51,4300,1465,181,500,921,0.98,104
Detroit Tigers,Comerica Park,1921305,2001,AL,DET,4,162,66,96,724,5537,1439,131,5.01,16,2,34,4288,1624,180,553,859,0.97,93
Kansas City Royals,Kauffman Stadium,1536371,2001,AL,KCA,5,162,65,97,729,5643,1503,117,4.87,5,1,30,4320,1537,209,576,911,0.98,107
New York Yankees,Yankee Stadium II,3264907,2001,AL,NYA,1,161,95,65,804,5577,1488,109,4.02,7,9,57,4354,1429,158,465,1266,0.98,102
Boston Red Sox,Fenway Park II,2625333,2001,AL,BOS,2,161,82,79,772,5605,1493,113,4.15,3,9,48,4344,1412,146,544,1259,0.98,102
Toronto Blue Jays,Skydome,1915438,2001,AL,TOR,3,162,80,82,767,5663,1489,97,4.28,7,10,41,4388,1553,165,490,1041,0.98,102
Baltimore Orioles,Oriole Park at Camden Yards,3094841,2001,AL,BAL,4,162,63,98,687,5472,1359,125,4.67,10,6,31,4297,1504,194,528,938,0.97,95
Tampa Bay Devil Rays,Tropicana Field,1298365,2001,AL,TBA,5,162,62,100,672,5524,1426,139,4.94,1,6,30,4271,1513,207,569,1030,0.97,98
Seattle Mariners,Safeco Field,3507326,2001,AL,SEA,1,162,116,46,927,5680,1637,83,3.54,8,14,56,4395,1293,160,465,1051,0.98,94
Oakland Athletics,Oakland Coliseum,2133277,2001,AL,OAK,2,162,102,60,884,5573,1469,125,3.59,13,9,44,4390,1384,153,440,1117,0.98,99
Anaheim Angels,Edison International Field,2000919,2001,AL,ANA,3,162,75,87,691,5551,1447,103,4.2,6,1,43,4313,1452,168,525,947,0.98,101
Texas Rangers,The Ballpark at Arlington,2831021,2001,AL,TEX,4,162,73,89,890,5685,1566,114,5.71,4,3,37,4315,1670,222,596,951,0.98,104
Houston Astros,Enron Field,2904277,2001,NL,HOU,1,162,93,69,847,5528,1500,110,4.37,7,6,48,4364,1453,221,486,1228,0.98,107
St. Louis Cardinals,Busch Stadium II,3109578,2001,NL,SLN,2,162,93,69,814,5450,1469,110,3.93,8,11,38,4306,1389,196,526,1083,0.98,100
Chicago Cubs,Wrigley Field,2779465,2001,NL,CHN,3,162,88,74,777,5406,1409,109,4.03,8,6,41,4311,1357,164,550,1344,0.98,95
Milwaukee Brewers,Miller Park,2811041,2001,NL,MIL,4,162,68,94,740,5488,1378,103,4.64,3,8,28,4309,1452,197,667,1057,0.98,98
Cincinnati Reds,Cinergy Field,1879757,2001,NL,CIN,5,162,66,96,735,5583,1464,138,4.77,2,2,35,4328,1572,198,515,943,0.97,105
Pittsburgh Pirates,PNC Park,2464870,2001,NL,PIT,6,162,62,100,657,5398,1333,133,5.05,8,9,36,4249,1493,167,549,908,0.97,103
Atlanta Braves,Turner Field,2823530,2001,NL,ATL,1,162,88,74,729,5498,1432,103,3.59,5,13,41,4342,1363,153,499,1133,0.98,103
Philadelphia Phillies,Veterans Stadium,1782054,2001,NL,PHI,2,162,86,76,746,5497,1431,91,4.15,8,7,47,4336,1417,170,527,1086,0.98,98
New York Mets,Shea Stadium,2658330,2001,NL,NYN,3,162,82,80,642,5459,1361,101,4.07,6,14,48,4337,1418,186,438,1191,0.98,96
Florida Marlins,Pro Player Stadium,1261226,2001,NL,FLO,4,162,76,86,742,5542,1461,103,4.32,5,11,32,4314,1397,151,617,1119,0.98,97
Montreal Expos,Stade Olympique,642745,2001,NL,MON,5,162,68,94,670,5379,1361,108,4.68,5,11,28,4294,1509,190,525,1103,0.98,101
Arizona Diamondbacks,Bank One Ballpark,2736451,2001,NL,ARI,1,162,92,70,818,5595,1494,84,3.87,12,13,34,4379,1352,195,461,1297,0.98,108
San Francisco Giants,PacBell Park,3311958,2001,NL,SFN,2,162,90,72,799,5612,1493,118,4.18,3,8,47,4390,1437,145,579,1080,0.98,93
Los Angeles Dodgers,Dodger Stadium,3017143,2001,NL,LAN,3,162,86,76,758,5493,1399,116,4.25,3,5,46,4352,1387,184,524,1212,0.98,92
San Diego Padres,Qualcomm Stadium,2378128,2001,NL,SDN,4,162,79,83,789,5482,1379,145,4.52,5,6,46,4322,1519,219,476,1088,0.97,91
Colorado Rockies,Coors Field,3166821,2001,NL,COL,5,162,73,89,923,5690,1663,96,5.29,8,8,26,4290,1522,239,598,1058,0.98,122
Minnesota Twins,Hubert H Humphrey Metrodome,1924473,2002,AL,MIN,1,161,94,67,768,5582,1518,74,4.12,8,9,47,4334,1454,184,439,1026,0.98,100
Chicago White Sox,Comiskey Park II,1676911,2002,AL,CHA,2,162,81,81,856,5502,1475,97,4.53,7,7,35,4269,1422,190,528,945,0.98,102
Cleveland Indians,Jacobs Field,2616940,2002,AL,CLE,3,162,74,88,739,5423,1349,113,4.91,9,4,34,4274,1508,142,603,1058,0.98,97
Kansas City Royals,Kauffman Stadium,1323036,2002,AL,KCA,4,162,62,100,737,5535,1415,130,5.21,12,6,30,4323,1587,212,572,909,0.97,110
Detroit Tigers,Comerica Park,1503623,2002,AL,DET,5,161,55,106,575,5406,1340,142,4.93,11,7,33,4242,1593,163,463,794,0.97,92
New York Yankees,Yankee Stadium II,3465807,2002,AL,NYA,1,161,103,58,897,5601,1540,127,3.87,9,11,53,4356,1441,144,403,1135,0.97,100
Boston Red Sox,Fenway Park II,2650862,2002,AL,BOS,2,162,93,69,859,5640,1560,104,3.75,5,17,51,4338,1339,146,430,1157,0.98,103
Toronto Blue Jays,Skydome,1637900,2002,AL,TOR,3,162,78,84,813,5581,1457,107,4.8,6,6,41,4315,1504,177,590,991,0.98,104
Baltimore Orioles,Oriole Park at Camden Yards,2682439,2002,AL,BAL,4,162,67,95,667,5491,1353,91,4.46,8,3,31,4352,1491,208,549,967,0.98,95
Tampa Bay Devil Rays,Tropicana Field,1065742,2002,AL,TBA,5,161,55,106,673,5604,1418,126,5.29,12,3,25,4321,1567,215,620,925,0.97,97
Oakland Athletics,Oakland Coliseum,2169811,2002,AL,OAK,1,162,103,59,800,5558,1450,102,3.68,9,19,48,4356,1391,135,474,1021,0.98,98
Anaheim Angels,Edison International Field,2305547,2002,AL,ANA,2,162,99,63,851,5678,1603,87,3.69,7,14,54,4357,1345,169,509,999,0.98,100
Seattle Mariners,Safeco Field,3542938,2002,AL,SEA,3,162,93,69,814,5569,1531,88,4.07,8,12,43,4336,1422,178,441,1063,0.98,97
Texas Rangers,The Ballpark at Arlington,2352397,2002,AL,TEX,4,162,72,90,843,5618,1510,99,5.15,4,4,33,4319,1528,194,669,1030,0.98,106
St. Louis Cardinals,Busch Stadium II,3011756,2002,NL,SLN,1,162,97,65,787,5505,1475,103,3.7,4,9,42,4339,1355,141,547,1009,0.98,98
Houston Astros,Minute Maid Park,2517357,2002,NL,HOU,2,162,84,78,749,5503,1441,83,4,2,11,43,4335,1423,151,546,1219,0.98,106
Cincinnati Reds,Cinergy Field,1855787,2002,NL,CIN,3,162,78,84,709,5470,1386,120,4.27,2,8,42,4361,1502,173,550,980,0.98,104
Pittsburgh Pirates,PNC Park,1784988,2002,NL,PIT,4,161,72,89,641,5330,1300,115,4.23,2,7,47,4238,1447,163,572,920,0.98,102
Chicago Cubs,Wrigley Field,2693096,2002,NL,CHN,5,162,67,95,706,5496,1351,114,4.29,11,9,23,4324,1373,167,606,1333,0.98,98
Milwaukee Brewers,Miller Park,1969153,2002,NL,MIL,6,162,56,106,627,5415,1369,103,4.73,7,4,32,4297,1468,199,666,1026,0.98,98
Atlanta Braves,Turner Field,2603484,2002,NL,ATL,1,161,101,59,708,5495,1428,114,3.13,3,15,57,4402,1302,123,554,1058,0.98,102
Montreal Expos,Stade Olympique,812045,2002,NL,MON,2,162,83,79,735,5479,1432,139,3.97,9,3,39,4359,1475,165,508,1088,0.97,103
Philadelphia Phillies,Veterans Stadium,1618467,2002,NL,PHI,3,161,80,81,710,5523,1428,88,4.17,5,9,47,4349,1381,153,570,1075,0.98,94
Florida Marlins,Pro Player Stadium,813118,2002,NL,FLO,4,162,79,83,699,5496,1433,106,4.36,11,12,36,4369,1449,151,631,1104,0.98,97
New York Mets,Shea Stadium,2804838,2002,NL,NYN,5,161,75,86,690,5496,1409,144,3.89,9,10,36,4328,1408,163,543,1107,0.97,97
Arizona Diamondbacks,Bank One Ballpark,3198977,2002,NL,ARI,1,162,98,64,819,5508,1471,89,3.92,14,10,40,4340,1361,170,421,1303,0.98,111
San Francisco Giants,PacBell Park,3253203,2002,NL,SFN,2,162,95,66,783,5497,1465,90,3.54,10,13,43,4312,1349,116,523,992,0.98,95
Los Angeles Dodgers,Dodger Stadium,3131255,2002,NL,LAN,3,162,92,70,713,5554,1464,90,3.69,4,15,56,4373,1311,165,555,1132,0.98,92
Colorado Rockies,Coors Field,2737838,2002,NL,COL,4,162,73,89,778,5512,1508,112,5.2,1,8,43,4280,1554,225,582,920,0.98,116
San Diego Padres,Qualcomm Stadium,2220601,2002,NL,SDN,5,162,66,96,662,5515,1393,128,4.62,5,10,40,4309,1522,177,582,1108,0.97,90
Minnesota Twins,Hubert H Humphrey Metrodome,1946011,2003,AL,MIN,1,162,90,72,801,5655,1567,87,4.41,7,8,45,4385,1526,187,402,997,0.98,101
Chicago White Sox,U.S. Cellular Field,1939524,2003,AL,CHA,2,162,86,76,791,5487,1445,93,4.17,12,4,36,4293,1364,162,518,1056,0.98,102
Kansas City Royals,Kauffman Stadium,1779895,2003,AL,KCA,3,162,83,79,836,5568,1526,108,5.06,7,10,36,4316,1569,190,566,865,0.98,107
Cleveland Indians,Jacobs Field,1730002,2003,AL,CLE,4,162,68,94,699,5572,1413,126,4.21,5,7,34,4378,1477,179,501,943,0.98,96
Detroit Tigers,Comerica Park,1368245,2003,AL,DET,5,162,43,119,591,5466,1312,138,5.3,3,5,27,4316,1616,195,557,764,0.97,93
New York Yankees,Yankee Stadium II,3465600,2003,AL,NYA,1,163,101,61,877,5605,1518,114,4.02,8,12,49,4386,1512,145,375,1119,0.98,98
Boston Red Sox,Fenway Park II,2724165,2003,AL,BOS,2,162,95,67,961,5769,1667,113,4.48,5,6,36,4394,1503,153,488,1141,0.98,105
Toronto Blue Jays,Skydome,1799458,2003,AL,TOR,3,162,86,76,894,5661,1580,117,4.69,14,6,36,4305,1560,184,485,984,0.98,104
