team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
New York Mets,Shea Stadium,1722209,1974,NL,NYN,5,162,71,91,572,5468,1286,158,3.42,46,15,14,4410,1433,99,504,908,0.97,99
Chicago Cubs,Wrigley Field,1015378,1974,NL,CHN,6,162,66,96,669,5574,1397,199,4.28,23,6,26,4398,1593,122,576,895,0.96,103
Los Angeles Dodgers,Dodger Stadium,2632474,1974,NL,LAN,1,162,102,60,798,5557,1511,157,2.97,33,19,23,4395,1272,112,464,943,0.97,96
Cincinnati Reds,Riverfront Stadium,2164307,1974,NL,CIN,2,163,98,64,776,5535,1437,134,3.41,34,11,27,4398,1364,126,536,875,0.97,99
Atlanta Braves,Atlanta-Fulton County Stadium,981085,1974,NL,ATL,3,163,88,74,661,5533,1375,132,3.05,46,21,22,4422,1343,97,488,772,0.97,104
Houston Astros,Astrodome,1090728,1974,NL,HOU,4,162,81,81,653,5489,1441,108,3.46,36,18,18,4350,1396,84,601,738,0.98,96
San Francisco Giants,Candlestick Park,519987,1974,NL,SFN,5,162,72,90,634,5482,1380,175,3.78,27,11,25,4317,1409,116,559,756,0.97,105
San Diego Padres,Jack Murphy Stadium,1075399,1974,NL,SDN,6,162,60,102,541,5415,1239,170,4.58,25,7,19,4335,1536,124,715,855,0.97,95
Boston Red Sox,Fenway Park II,1748587,1975,AL,BOS,1,160,95,65,796,5448,1500,135,3.98,62,11,31,4308,1463,145,490,720,0.97,110
Baltimore Orioles,Memorial Stadium,1002157,1975,AL,BAL,2,159,90,69,682,5474,1382,107,3.17,70,19,21,4353,1285,110,500,717,0.98,94
New York Yankees,Shea Stadium,1288048,1975,AL,NYA,3,160,83,77,681,5415,1430,135,3.29,70,11,20,4272,1325,104,502,809,0.97,99
Cleveland Indians,Cleveland Stadium,977039,1975,AL,CLE,4,159,79,80,688,5404,1409,134,3.84,37,6,33,4305,1395,136,599,800,0.97,99
Milwaukee Brewers,County Stadium,1213357,1975,AL,ML4,5,162,68,94,675,5378,1343,180,4.34,36,10,34,4293,1496,133,624,643,0.97,100
Detroit Tigers,Tiger Stadium,1058836,1975,AL,DET,6,159,57,102,570,5366,1338,173,4.27,52,10,17,4188,1496,137,533,787,0.97,104
Oakland Athletics,Oakland Coliseum,1075518,1975,AL,OAK,1,162,98,64,758,5415,1376,143,3.27,36,10,44,4344,1267,102,523,784,0.97,98
Kansas City Royals,Royals Stadium,1151836,1975,AL,KCA,2,162,91,71,710,5491,1431,155,3.47,52,11,25,4368,1422,108,498,815,0.97,103
Texas Rangers,Arlington Stadium,1127924,1975,AL,TEX,3,162,79,83,714,5599,1431,191,3.86,60,16,17,4395,1456,123,518,792,0.97,99
Minnesota Twins,Metropolitan Stadium,737156,1975,AL,MIN,4,159,76,83,724,5514,1497,169,4.05,57,7,22,4269,1381,137,617,846,0.97,102
Chicago White Sox,Comiskey Park,750802,1975,AL,CHA,5,161,75,86,655,5490,1400,140,3.93,34,7,39,4356,1489,107,655,799,0.97,102
California Angels,Anaheim Stadium,1058163,1975,AL,CAL,6,161,72,89,628,5377,1324,184,3.89,59,19,16,4359,1386,123,613,975,0.97,92
Pittsburgh Pirates,Three Rivers Stadium,1270018,1975,NL,PIT,1,161,92,69,712,5489,1444,151,3.01,43,14,31,4311,1302,79,551,768,0.97,99
Philadelphia Phillies,Veterans Stadium,1909233,1975,NL,PHI,2,162,86,76,735,5592,1506,152,3.82,33,11,30,4365,1353,111,546,897,0.97,104
New York Mets,Shea Stadium,1730566,1975,NL,NYN,3,162,82,80,646,5587,1430,151,3.39,40,14,31,4398,1344,99,580,989,0.97,96
